index;adc
0;1489
1;1490
2;1489
3;1489
4;1489
5;1489
6;1489
7;1489
8;1489
9;1489
10;1489
11;1488
12;1488
13;1488
14;1489
15;1489
16;1489
17;1489
18;1489
19;1490
20;1490
21;1490
22;1490
23;1490
24;1491
25;1491
26;1492
27;1492
28;1492
29;1492
30;1492
31;1492
32;1492
33;1492
34;1492
35;1492
36;1492
37;1492
38;1492
39;1493
40;1492
41;1492
42;1492
43;1492
44;1491
45;1491
46;1491
47;1491
48;1490
49;1490
50;1490
51;1490
52;1490
53;1489
54;1489
55;1489
56;1489
57;1489
58;1488
59;1489
60;1489
61;1488
62;1489
63;1489
64;1489
65;1489
66;1489
67;1489
68;1489
69;1489
70;1490
71;1490
72;1490
73;1491
74;1491
75;1492
76;1491
77;1492
78;1491
79;1492
80;1492
81;1492
82;1492
83;1492
84;1492
85;1492
86;1492
87;1492
88;1492
89;1492
90;1492
91;1491
92;1492
93;1492
94;1491
95;1491
96;1491
97;1491
98;1490
99;1490
100;1490
101;1490
102;1489
103;1489
104;1489
105;1489
106;1489
107;1489
108;1489
109;1489
110;1489
111;1489
112;1489
113;1488
114;1489
115;1488
116;1489
117;1489
118;1489
119;1490
120;1490
121;1490
122;1490
123;1491
124;1491
125;1491
126;1492
127;1491
128;1492
129;1492
130;1492
131;1492
132;1492
133;1493
134;1493
135;1493
136;1493
137;1493
138;1493
139;1493
140;1493
141;1492
142;1493
143;1492
144;1492
145;1492
146;1491
147;1492
148;1492
149;1491
150;1492
151;1491
152;1490
153;1491
154;1490
155;1490
156;1490
157;1490
158;1490
159;1490
160;1490
161;1490
162;1489
163;1489
164;1489
165;1490
166;1490
167;1490
168;1490
169;1490
170;1491
171;1491
172;1491
173;1491
174;1491
175;1491
176;1491
177;1492
178;1493
179;1493
180;1493
181;1493
182;1493
183;1493
184;1493
185;1493
186;1493
187;1493
188;1493
189;1493
190;1493
191;1493
192;1493
193;1493
194;1493
195;1493
196;1492
197;1493
198;1492
199;1492
