index;adc
0;1487
1;1487
2;1487
3;1487
4;1486
5;1486
6;1485
7;1485
8;1485
9;1484
10;1484
11;1483
12;1483
13;1483
14;1483
15;1482
16;1482
17;1482
18;1481
19;1481
20;1480
21;1480
22;1480
23;1480
24;1479
25;1479
26;1480
27;1479
28;1480
29;1480
30;1480
31;1480
32;1481
33;1481
34;1482
35;1482
36;1482
37;1482
38;1483
39;1483
40;1483
41;1484
42;1484
43;1484
44;1485
45;1485
46;1485
47;1485
48;1485
49;1486
50;1486
51;1486
52;1485
53;1485
54;1485
55;1485
56;1484
57;1484
58;1483
59;1483
60;1483
61;1482
62;1482
63;1482
64;1481
65;1481
66;1481
67;1480
68;1480
69;1480
70;1479
71;1479
72;1479
73;1479
74;1479
75;1478
76;1478
77;1478
78;1478
79;1479
80;1479
81;1479
82;1479
83;1479
84;1480
85;1480
86;1481
87;1482
88;1481
89;1482
90;1482
91;1482
92;1483
93;1483
94;1483
95;1484
96;1484
97;1484
98;1484
99;1485
100;1485
101;1485
102;1484
103;1484
104;1484
105;1484
106;1483
107;1483
108;1483
109;1482
110;1482
111;1481
112;1482
113;1481
114;1481
115;1480
116;1480
117;1480
118;1479
119;1479
120;1478
121;1478
122;1478
123;1478
124;1477
125;1478
126;1478
127;1478
128;1478
129;1478
130;1478
131;1478
132;1479
133;1479
134;1479
135;1480
136;1480
137;1480
138;1481
139;1481
140;1482
141;1482
142;1482
143;1483
144;1483
145;1483
146;1484
147;1484
148;1484
149;1484
150;1484
151;1484
152;1484
153;1484
154;1484
155;1483
156;1483
157;1483
158;1483
159;1482
160;1482
161;1482
162;1482
163;1481
164;1481
165;1480
166;1480
167;1480
168;1480
169;1479
170;1479
171;1478
172;1478
173;1478
174;1478
175;1478
176;1478
177;1478
178;1477
179;1478
180;1478
181;1478
182;1479
183;1479
184;1479
185;1480
186;1480
187;1480
188;1481
189;1481
190;1482
191;1482
192;1482
193;1483
194;1483
195;1484
196;1484
197;1484
198;1484
199;1485
200;1485
201;1485
202;1485
203;1485
204;1484
205;1484
206;1484
207;1484
208;1483
209;1483
210;1483
211;1482
212;1482
213;1482
214;1481
215;1481
216;1481
217;1480
218;1480
219;1479
220;1479
221;1479
222;1479
223;1478
224;1478
225;1478
226;1478
227;1478
228;1478
229;1478
230;1479
231;1479
232;1479
233;1480
234;1480
235;1481
236;1481
237;1481
238;1482
239;1482
240;1483
241;1483
242;1483
243;1483
244;1484
245;1484
246;1485
247;1485
248;1485
249;1485
250;1486
251;1486
252;1485
253;1486
254;1486
255;1485
256;1485
257;1485
258;1485
259;1485
260;1484
261;1484
262;1484
263;1483
264;1483
265;1482
266;1482
267;1482
268;1482
269;1481
270;1481
271;1481
272;1481
273;1480
274;1480
275;1480
276;1479
277;1480
278;1480
279;1480
280;1480
281;1480
282;1481
283;1481
284;1481
285;1482
286;1482
287;1482
288;1483
289;1483
290;1483
291;1484
292;1484
293;1485
294;1485
295;1485
296;1485
297;1486
298;1486
299;1486
300;1487
301;1487
302;1487
303;1487
304;1486
305;1487
306;1486
307;1486
308;1486
309;1485
310;1485
311;1485
312;1484
313;1484
314;1484
315;1483
316;1483
317;1483
318;1482
319;1482
320;1482
321;1481
322;1481
323;1481
324;1481
325;1480
326;1481
327;1481
328;1481
329;1481
330;1481
331;1481
332;1482
333;1482
334;1482
335;1483
336;1482
337;1483
338;1484
339;1484
340;1485
341;1485
342;1485
343;1485
344;1486
345;1486
346;1487
347;1487
348;1487
349;1488
350;1488
351;1488
352;1488
353;1488
354;1488
355;1488
356;1488
357;1488
358;1488
359;1488
360;1487
361;1486
362;1486
363;1486
364;1486
365;1486
366;1485
367;1485
368;1485
369;1484
370;1484
371;1484
372;1484
373;1483
374;1483
375;1482
376;1483
377;1483
378;1483
379;1483
380;1483
381;1483
382;1483
383;1484
384;1484
385;1484
386;1485
387;1485
388;1485
389;1486
390;1486
391;1486
392;1487
393;1488
394;1488
395;1488
396;1489
397;1489
398;1489
399;1489
400;1489
401;1490
402;1490
403;1490
404;1490
405;1489
406;1489
407;1489
408;1489
409;1489
410;1488
411;1488
412;1488
413;1488
414;1487
415;1487
416;1487
417;1486
418;1486
419;1485
420;1485
421;1485
422;1485
423;1484
424;1484
425;1484
426;1484
427;1484
428;1484
429;1484
430;1484
431;1484
432;1484
433;1485
434;1485
435;1486
436;1486
437;1486
438;1487
439;1487
440;1488
441;1488
442;1488
443;1489
444;1489
445;1490
446;1490
447;1491
448;1491
449;1491
450;1491
451;1491
452;1492
453;1492
454;1492
455;1492
456;1492
457;1491
458;1491
459;1491
460;1491
461;1490
462;1490
463;1490
464;1490
465;1489
466;1489
467;1489
468;1489
469;1489
470;1488
471;1488
472;1488
473;1487
474;1487
475;1487
476;1487
477;1487
478;1487
479;1487
480;1488
481;1488
482;1488
483;1489
484;1489
485;1490
486;1490
487;1490
488;1491
489;1492
490;1492
491;1493
492;1493
493;1493
494;1494
495;1495
496;1495
497;1496
498;1496
499;1496
500;1498
501;1497
502;1498
503;1498
504;1498
505;1498
506;1498
507;1498
508;1497
509;1498
510;1497
511;1497
512;1497
513;1496
514;1496
515;1496
516;1496
517;1496
518;1496
519;1495
520;1495
521;1495
522;1495
523;1495
524;1494
525;1495
526;1494
527;1495
528;1495
529;1495
530;1495
531;1495
532;1496
533;1496
534;1497
535;1497
536;1497
537;1498
538;1499
539;1499
540;1500
541;1500
542;1501
543;1502
544;1502
545;1502
546;1503
547;1503
548;1504
549;1505
550;1505
551;1505
552;1506
553;1506
554;1506
555;1506
556;1507
557;1506
558;1506
559;1506
560;1506
561;1507
562;1506
563;1506
564;1506
565;1505
566;1505
567;1505
568;1505
569;1505
570;1505
571;1505
572;1504
573;1504
574;1504
575;1504
576;1504
577;1504
578;1504
579;1505
580;1505
581;1505
582;1506
583;1506
584;1507
585;1507
586;1508
587;1508
588;1508
589;1510
590;1510
591;1511
592;1512
593;1512
594;1512
595;1513
596;1514
597;1514
598;1515
599;1515
600;1516
601;1516
602;1517
603;1517
604;1517
605;1517
606;1517
607;1517
608;1517
609;1517
610;1517
611;1517
612;1517
613;1517
614;1516
615;1516
616;1516
617;1516
618;1516
619;1516
620;1516
621;1515
622;1515
623;1515
624;1515
625;1515
626;1515
627;1515
628;1515
629;1516
630;1516
631;1516
632;1517
633;1517
634;1517
635;1518
636;1518
637;1519
638;1520
639;1520
640;1520
641;1521
642;1521
643;1522
644;1522
645;1523
646;1523
647;1524
648;1525
649;1525
650;1525
651;1526
652;1526
653;1526
654;1526
655;1526
656;1526
657;1526
658;1526
659;1525
660;1525
661;1525
662;1525
663;1525
664;1524
665;1523
666;1523
667;1523
668;1523
669;1522
670;1522
671;1522
672;1522
673;1521
674;1521
675;1521
676;1521
677;1521
678;1520
679;1521
680;1520
681;1521
682;1521
683;1521
684;1521
685;1522
686;1522
687;1523
