index;adc
0;1500
1;1499
2;1497
3;1496
4;1495
5;1494
6;1493
7;1492
8;1492
9;1492
10;1492
11;1491
12;1491
13;1491
14;1491
15;1492
16;1491
17;1492
18;1492
19;1492
20;1493
21;1494
22;1496
23;1496
24;1498
25;1500
26;1500
27;1501
28;1503
29;1504
30;1505
31;1505
32;1506
33;1506
34;1507
35;1507
36;1507
37;1507
38;1507
39;1507
40;1507
41;1506
42;1506
43;1507
44;1506
45;1505
46;1504
47;1503
48;1502
49;1501
50;1500
51;1499
52;1499
53;1498
54;1498
55;1497
56;1497
57;1497
58;1498
59;1498
60;1498
61;1499
62;1499
63;1499
64;1499
65;1500
66;1500
67;1500
68;1500
69;1501
70;1501
71;1503
72;1504
73;1504
74;1506
75;1506
76;1507
77;1508
78;1509
79;1509
80;1510
81;1510
82;1511
83;1511
84;1511
85;1511
86;1511
87;1510
88;1510
89;1510
90;1510
91;1509
92;1509
93;1508
94;1509
95;1508
96;1508
97;1507
98;1506
99;1506
100;1505
101;1503
102;1502
103;1502
104;1500
105;1500
106;1499
107;1498
108;1497
109;1497
110;1497
111;1496
112;1496
113;1495
114;1495
115;1495
116;1494
117;1494
118;1493
119;1493
120;1493
121;1494
122;1494
123;1495
124;1497
125;1498
126;1498
127;1500
128;1501
129;1502
130;1502
131;1503
132;1503
133;1504
134;1504
135;1504
136;1505
137;1505
138;1506
139;1506
140;1507
141;1507
142;1507
143;1507
144;1507
145;1508
146;1507
147;1506
148;1505
149;1504
150;1503
151;1502
152;1501
153;1500
154;1499
155;1499
156;1498
157;1497
158;1498
159;1497
160;1497
161;1497
162;1498
163;1499
164;1499
165;1500
166;1501
167;1502
168;1503
169;1504
170;1505
171;1506
172;1508
173;1510
174;1511
175;1512
176;1514
177;1515
178;1516
179;1517
180;1517
181;1517
182;1517
183;1517
184;1517
185;1517
186;1517
187;1516
188;1516
189;1516
190;1516
191;1516
192;1516
193;1516
194;1515
195;1515
196;1515
197;1514
198;1513
199;1512
200;1512
201;1511
202;1509
203;1508
204;1507
205;1507
206;1505
207;1505
208;1504
209;1503
210;1502
211;1502
212;1502
213;1501
214;1502
215;1502
216;1502
217;1502
218;1502
219;1503
220;1504
221;1504
222;1507
223;1508
224;1509
225;1512
226;1513
227;1513
228;1514
229;1515
230;1516
231;1516
232;1516
233;1516
234;1516
235;1517
236;1517
237;1516
238;1517
239;1517
240;1517
241;1517
242;1516
243;1516
244;1516
245;1516
246;1516
247;1515
248;1513
249;1513
250;1511
251;1511
252;1509
253;1508
254;1507
255;1506
256;1505
257;1505
258;1504
259;1504
260;1503
261;1502
262;1502
263;1502
264;1501
265;1501
266;1501
267;1501
268;1501
269;1502
270;1502
271;1503
272;1504
273;1505
274;1505
275;1506
276;1507
277;1507
278;1508
279;1509
280;1509
281;1509
282;1510
283;1510
284;1510
285;1511
286;1512
287;1512
288;1513
289;1513
290;1513
291;1514
292;1514
293;1514
294;1514
295;1514
296;1514
297;1513
298;1513
299;1512
300;1511
301;1510
302;1509
303;1509
304;1507
305;1507
306;1506
307;1506
308;1505
309;1505
310;1504
311;1504
312;1504
313;1504
314;1504
315;1505
316;1505
317;1506
318;1506
319;1507
320;1508
321;1508
322;1509
323;1510
324;1513
325;1514
326;1514
327;1516
328;1517
329;1518
330;1519
331;1520
332;1520
333;1520
334;1520
335;1520
336;1520
337;1520
338;1520
339;1520
340;1520
341;1520
342;1520
343;1520
344;1519
345;1519
346;1519
347;1518
348;1517
349;1516
350;1515
351;1514
352;1513
353;1511
354;1510
355;1509
356;1509
357;1508
358;1507
359;1507
360;1506
361;1505
362;1505
363;1505
364;1504
365;1503
366;1503
367;1503
368;1503
369;1503
370;1504
371;1504
372;1505
373;1507
374;1508
375;1509
376;1512
377;1513
378;1514
379;1516
380;1517
381;1517
382;1517
383;1518
384;1519
385;1518
386;1519
387;1519
388;1519
389;1519
390;1518
391;1518
392;1517
393;1517
394;1517
395;1516
396;1514
397;1513
398;1513
399;1511
400;1510
401;1509
402;1507
403;1507
404;1506
405;1505
406;1504
407;1504
408;1504
409;1504
410;1503
411;1503
412;1503
413;1503
414;1503
415;1502
416;1502
417;1502
418;1502
419;1501
420;1501
421;1501
422;1501
423;1502
424;1503
425;1505
426;1505
427;1507
428;1509
429;1510
430;1512
431;1512
432;1514
433;1515
434;1516
435;1517
436;1518
437;1518
438;1519
439;1519
440;1520
441;1520
442;1521
443;1521
444;1521
445;1521
446;1521
447;1522
448;1521
449;1520
450;1519
451;1518
452;1516
453;1515
454;1513
455;1511
456;1510
457;1508
458;1507
459;1506
460;1505
461;1504
462;1504
463;1503
464;1503
465;1502
466;1502
467;1502
468;1502
469;1502
470;1502
471;1502
472;1502
473;1503
474;1503
475;1504
476;1505
477;1506
478;1507
479;1507
480;1508
481;1509
482;1510
483;1510
484;1510
485;1511
486;1511
487;1511
488;1510
489;1510
490;1510
491;1510
492;1510
493;1511
494;1511
495;1511
496;1512
497;1513
498;1513
499;1513
500;1512
